humidity,light,temperature,timestamp
68.0,60.0,23.85,2025-04-25 16:33:00.621
68.0,62.0,24.0,2025-04-25 16:43:00.637
67.0,67.0,25.02,2025-04-25 16:53:00.652
67.0,57.0,24.41,2025-04-25 17:03:00.667
67.0,49.0,24.51,2025-04-25 17:13:00.682
67.0,41.0,24.33,2025-04-25 17:23:00.697
67.0,39.0,24.26,2025-04-25 17:33:00.712
67.0,38.0,24.03,2025-04-25 17:43:00.728
67.0,20.0,23.98,2025-04-25 17:53:00.743
67.0,2.0,23.77,2025-04-25 18:03:00.758
67.0,-9.0,23.47,2025-04-25 18:13:00.773
67.0,-15.0,23.39,2025-04-25 18:23:00.788
67.0,-16.0,23.31,2025-04-25 18:33:00.804
67.0,-16.0,22.9,2025-04-25 18:43:00.820
66.0,-16.0,22.77,2025-04-25 18:53:00.836
66.0,-16.0,22.48,2025-04-25 19:03:00.851
66.0,-16.0,21.96,2025-04-25 19:13:00.866
66.0,-16.0,22.02,2025-04-25 19:23:00.881
66.0,-16.0,22.61,2025-04-25 19:33:00.896
66.0,-16.0,22.77,2025-04-25 19:43:00.911
66.0,-16.0,22.9,2025-04-25 19:53:00.926
66.0,-16.0,22.9,2025-04-25 20:03:00.941
65.0,-16.0,22.95,2025-04-25 20:13:00.956
65.0,-16.0,22.95,2025-04-25 20:23:00.971
65.0,-16.0,22.85,2025-04-25 20:33:00.987
65.0,-16.0,22.85,2025-04-25 20:43:01.003
65.0,-16.0,22.38,2025-04-25 20:53:01.018
65.0,-16.0,22.09,2025-04-25 21:03:01.033
65.0,-16.0,22.15,2025-04-25 21:13:01.048
65.0,-16.0,21.91,2025-04-25 21:23:01.063
65.0,-16.0,22.12,2025-04-25 21:33:01.078
65.0,-16.0,21.78,2025-04-25 21:43:01.093
65.0,-16.0,21.76,2025-04-25 21:53:01.108
64.0,-16.0,21.76,2025-04-25 22:03:01.123
